plant	plot	no.vseeds	no.aborts	pattern.6	plant.height	nectar.rew	flw.sync	neigh.2m	nearest.tree.dist.cm	fruit.set
23	1	60	101	4	149.0	5.393	0.818	17	115.0	0.500
23	1	110	80	4	149.0	5.393	0.818	17	115.0	0.500
23	1	92	17	4	149.0	5.393	0.818	17	115.0	0.500
23	1	210	7	4	149.0	5.393	0.818	17	115.0	0.500
23	1	99	70	4	149.0	5.393	0.818	17	115.0	0.500
23	1	15	9	4	149.0	5.393	0.818	17	115.0	0.500
23	1	221	0	4	149.0	5.393	0.818	17	115.0	0.500
23	1	176	14	4	149.0	5.393	0.818	17	115.0	0.500
23	1	110	15	4	149.0	5.393	0.818	17	115.0	0.500
23	1	308	60	4	149.0	5.393	0.818	17	115.0	0.500
23	1	186	6	4	149.0	5.393	0.818	17	115.0	0.500
23	1	120	11	4	149.0	5.393	0.818	17	115.0	0.500
23	1	320	60	4	149.0	5.393	0.818	17	115.0	0.500
23	1	271	5	4	149.0	5.393	0.818	17	115.0	0.500
24	1	72	125	6	133.5	1.092	0.582	18	97.0	0.596
24	1	0	100	6	133.5	1.092	0.582	18	97.0	0.596
24	1	315	90	6	133.5	1.092	0.582	18	97.0	0.596
24	1	272	2	6	133.5	1.092	0.582	18	97.0	0.596
24	1	266	7	6	133.5	1.092	0.582	18	97.0	0.596
24	1	165	2	6	133.5	1.092	0.582	18	97.0	0.596
24	1	204	5	6	133.5	1.092	0.582	18	97.0	0.596
24	1	142	11	6	133.5	1.092	0.582	18	97.0	0.596
24	1	0	90	6	133.5	1.092	0.582	18	97.0	0.596
24	1	265	80	6	133.5	1.092	0.582	18	97.0	0.596
24	1	0	280	6	133.5	1.092	0.582	18	97.0	0.596
24	1	251	1	6	133.5	1.092	0.582	18	97.0	0.596
24	1	265	3	6	133.5	1.092	0.582	18	97.0	0.596
24	1	211	2	6	133.5	1.092	0.582	18	97.0	0.596
24	1	210	25	6	133.5	1.092	0.582	18	97.0	0.596
24	1	360	60	6	133.5	1.092	0.582	18	97.0	0.596
24	1	110	70	6	133.5	1.092	0.582	18	97.0	0.596
24	1	280	17	6	133.5	1.092	0.582	18	97.0	0.596
24	1	237	1	6	133.5	1.092	0.582	18	97.0	0.596
24	1	0	65	6	133.5	1.092	0.582	18	97.0	0.596
25	1	322	40	6	55.0	5.529	0.872	17	122.0	0.833
25	1	54	130	6	55.0	5.529	0.872	17	122.0	0.833
25	1	46	105	6	55.0	5.529	0.872	17	122.0	0.833
25	1	0	75	6	55.0	5.529	0.872	17	122.0	0.833
25	1	0	60	6	55.0	5.529	0.872	17	122.0	0.833
25	1	65	100	6	55.0	5.529	0.872	17	122.0	0.833
25	1	0	110	6	55.0	5.529	0.872	17	122.0	0.833
25	1	0	130	6	55.0	5.529	0.872	17	122.0	0.833
25	1	0	80	6	55.0	5.529	0.872	17	122.0	0.833
25	1	0	70	6	55.0	5.529	0.872	17	122.0	0.833
25	1	0	130	6	55.0	5.529	0.872	17	122.0	0.833
25	1	11	120	6	55.0	5.529	0.872	17	122.0	0.833
25	1	0	135	6	55.0	5.529	0.872	17	122.0	0.833
